 "tabcon", table of the Hertzian creep-force law (con93)
 Delft University of Technology
 Author: J.J. Kalker

   7     0   433         0     0   itab,idl,idr,il,ir
aob,upsx,upsy,phi  Fx,Fy,aM with  si=0.28,N=1,c=1,Ga=1.
   .7598E-01   .7031       .7767    
   .5974E-01   .6323       .8375    
   .4900E-01   .5762       .8758    
   .4127E-01   .5306       .9020    
   .3526E-01   .4922       .9211    
  -.1358E-07   .1653E-01   1.025    
   .2516E-02   .1184       1.020    
   .6011E-02   .2109       1.007    
   .1100E-01   .2900       .9910    
   .1711E-01   .3555       .9732    
   .2354E-01   .4092       .9553    
   .2964E-01   .4539       .9380    
   .3526E-01   .4922       .9211    
   .2145       .9586      -.4138E-01
   .1625       .8350      -.5355    
   .1084       .6754      -.7654    
   .8144E-01   .5490      -.8686    
   .6646E-01   .4521      -.9221    
   .5328E-01   .3753      -.9549    
   .3618E-01   .3134      -.9760    
   .2053E-01   .2621      -.9911    
   .1358E-07  -.1653E-01  -1.025    
   .2247E-02   .1747E-01  -1.025    
   .4129E-02   .5351E-01  -1.023    
   .5574E-02   .9154E-01  -1.020    
   .6589E-02   .1313      -1.016    
   .7294E-02   .1723      -1.011    
   .9205E-02   .2146      -1.003    
   .2053E-01   .2621      -.9911    
   0  672 a/b   upsx       upsy       phi          Fx          Fy         aM
   .1674       .9853      -.3161E-01
   .1322       .9369       .3732    
   .9501E-01   .8422       .6009    
